,Black,White,Grey,Red,Blue,Similarity,Confidence
0,1.0,0.0,0.0,0.0,0.0,99.9950942993164,99.99739074707031
1,0.0,0.0,0.0,0.0,1.0,99.9980697631836,99.99535369873047
2,0.0,0.0,1.0,0.0,0.0,99.99671936035156,99.99665832519531
3,0.0,0.0,0.0,1.0,0.0,99.99665069580078,99.99784088134766
4,0.0,1.0,0.0,0.0,0.0,99.99742126464844,99.99597930908203
0,1.0,0.0,0.0,0.0,0.0,99.9841079711914,99.99668884277344
1,0.0,0.0,0.0,0.0,1.0,99.93798828125,99.99921417236328
2,0.0,0.0,1.0,0.0,0.0,99.97276306152344,99.99900817871094
3,0.0,0.0,0.0,1.0,0.0,99.98527526855469,99.99836730957031
4,0.0,1.0,0.0,0.0,0.0,99.98406219482422,99.99713897705078
0,1.0,0.0,0.0,0.0,0.0,99.92131042480469,99.99661254882812
1,0.0,0.0,0.0,0.0,1.0,99.9571762084961,99.99393463134766
2,0.0,0.0,1.0,0.0,0.0,99.89877319335938,99.9969482421875
3,0.0,0.0,0.0,1.0,0.0,99.8470687866211,99.9950180053711
4,0.0,1.0,0.0,0.0,0.0,99.88450622558594,99.99202728271484
0,1.0,0.0,0.0,0.0,0.0,99.97702026367188,99.99533081054688
1,0.0,0.0,0.0,0.0,1.0,99.96637725830078,99.99739837646484
2,0.0,0.0,1.0,0.0,0.0,99.99168395996094,99.9975357055664
3,0.0,0.0,0.0,1.0,0.0,99.9850845336914,99.99715423583984
4,0.0,1.0,0.0,0.0,0.0,99.89088439941406,99.99644470214844
0,1.0,0.0,0.0,0.0,0.0,99.743408203125,99.99906921386719
1,0.0,0.0,0.0,0.0,1.0,99.87616729736328,99.99906158447266
2,0.0,0.0,1.0,0.0,0.0,99.78224182128906,99.99089050292969
3,0.0,0.0,0.0,1.0,0.0,99.91770935058594,99.99906158447266
4,0.0,1.0,0.0,0.0,0.0,99.8760986328125,99.98751831054688
